,Name,About
148,Mohan Venigalla,"Mohan Venigalla specializes in transportation systems analysis and planning with an emphasis on sustainable transportation. His early career (for 12 years) was primarily in engineering consulting and research. He has been engaged in his present teaching and academic research career since 2000. Venigalla�s expertise includes modeling of transportation systems encompassing travel behavior analysis, travel demand modeling, traffic simulation, network analysis, and intelligent transportation systems. His current and prior works covered a range of topics on transportation planning, air quality, transit-oriented developments, shared mobility, and urban freight planning. His skillset includes traditional quantitative and statistical methods, geographic information systems, data mining, and big data analytics. He has developed and applied numerous computer models for solving various transportation planning and traffic engineering problems. Venigalla�s research funding since 2000 topped $2.8 million. His publications include more than 50 peer-reviewed articles, two book chapters, and 38 significant technical reports. He developed or taught 16 different courses and graduated seven Ph.D. students under his supervision. He administered the undergraduate civil engineering program at George Mason University and was primarily responsible for increasing the enrollments four-fold (from 74 to 295) in an 8-year period. Venigalla�s research on air quality received national acclaim and was recognized by the National Academy of Sciences with the prestigious Pyke Johnson Award. He was elected a Fellow of the American Society of Civil Engineers and is a registered professional engineer in the Commonwealth of Virginia."
55,Moinul Hossain,"   # An academician with a demonstrated history of extensive research in next-gen wireless network security, secured network protocol modeling (PHY-MAC), and network analysis. The research mostly focuses on the security assessment of next-gen wireless networks, such as 5G, 6G, vehicular networks, IoT, cyber-physical systems. The security assessment compiles vulnerability detection, threat modeling, detection, deterrence, deception, and defense.# An academician with a demonstrated history of extensive research in next-gen wireless network security, secured network protocol modeling (PHY-MAC), and network analysis. The research mostly focuses on the security assessment of next-gen wireless networks, such as 5G, 6G, vehicular networks, IoT, cyber-physical systems. The security assessment compiles vulnerability detection, threat modeling, detection, deterrence, deception, and defense. "
47,Monson Hayes,"   Professor of Electrical and Computer Engineering with over thirty years of experience in research and education. Innovator in distance learning and in providing training and education to engineers in industry.  Expert witness in patent litigation cases involved with digital cameras, image and video compression, image and video processing.Specialties: Digital signal processing, image processing, video processing, face recognition, digital cameras, adaptive signal processing, gesture recognition, computational cameras, equation recognition, signal modeling, and machine learning.Professor of Electrical and Computer Engineering with over thirty years of experience in research and education. Innovator in distance learning and in providing training and education to engineers in industry.  Expert witness in patent litigation cases involved with digital cameras, image and video compression, image and video processing.Specialties: Digital signal processing, image processing, video processing, face recognition, digital cameras, adaptive signal processing, gesture recognition, computational cameras, equation recognition, signal modeling, and machine learning.                    "
77,Myeong Lee,"   I am interested in understanding the dynamics of local communities, hyperlocal groups, and local information inequality by digging into various kinds of data and socio-technical systems, and in contributing to civic engagement, policy-making, socio-technical systems theories, and people's information access.I am interested in understanding the dynamics of local communities, hyperlocal groups, and local information inequality by digging into various kinds of data and socio-technical systems, and in contributing to civic engagement, policy-making, socio-technical systems theories, and people's information access. "
67,Nathan Kathir,
115,Nicholas Rios,"   I am currently an Assistant Professor at George Mason University. My main area of interest is design of experiments. I am also interested in response surface methodology, computer experiments, and functional data analysis.  I am very skilled at data analysis, and I love using these skills to find answers to problems. I seek opportunities to apply my knowledge of statistics to the real world, whether through beneficial research or data analysis conducted for an independent firm.I am highly skilled in R and Matlab. I have experience using JMP, SQL, SAS, Java, and C++.I have obtained a PhD in Statistics from Penn State, a Master's of Science in Statistics from Montclair State University, as well as a Bachelor's of Science from University of Delaware (with minors in Mathematics, Economics, and Computer Science).I am currently an Assistant Professor at George Mason University. My main area of interest is design of experiments. I am also interested in response surface methodology, computer experiments, and functional data analysis.  I am very skilled at data analysis, and I love using these skills to find answers to problems. I seek opportunities to apply my knowledge of statistics to the real world, whether through beneficial research or data analysis conducted for an independent firm.I am highly skilled in R and Matlab. I have experience using JMP, SQL, SAS, Java, and C++.I have obtained a PhD in Statistics from Penn State, a Master's of Science in Statistics from Montclair State University, as well as a Bachelor's of Science from University of Delaware (with minors in Mathematics, Economics, and Computer Science). FeaturedFeatured     DocumentDocument  Contributions to Mixture ExperimentsContributions to Mixture Experiments This is the presentation I used during my comprehensive exam. It details my plans for thesis research on the topic of Order-of-Addition (OofA) Mixture Experiments. We try to design experiments for situations where a response depends on both the proportions of mixture components and their addition order.This is the presentation I used during my comprehensive exam. It details my plans for thesis research on the topic of Order-of-Addition (OofA) Mixture Experiments. We try to design experiments for situations where a response depends on both the proportions of mixture components and their addition order.DocumentDocument  JSM 2017 Presentation - Prediction Intervals for Functional DataJSM 2017 Presentation - Prediction Intervals for Functional Data I presented this research (related to my master's thesis) at JSM 2017 Baltimore, MD.I presented this research (related to my master's thesis) at JSM 2017 Baltimore, MD.LinkLink  Prediction Intervals for Functional DataPrediction Intervals for Functional DataMontclair State University Digital CommonsMontclair State University Digital CommonsThis is a link to my master's thesis, which is about prediction intervals in the context of Functional Data Analysis. This work describes the use of dynamic function-on-function regression for dynamic prediction of the future trajectory as well as the construction of dynamic prediction intervals for functional data. This is a link to my master's thesis, which is about prediction intervals in the context of Functional Data Analysis. This work describes the use of dynamic function-on-function regression for dynamic prediction of the future trajectory as well as the construction of dynamic prediction intervals for functional data. DocumentDocument  Cost-Benefit Analysis of a New Screening Method for Cervical CancerCost-Benefit Analysis of a New Screening Method for Cervical Cancer This is the presentation of the research that I completed over the summer of 2013 on the cost-effectiveness of semi-automated Pap Smears.This is the presentation of the research that I completed over the summer of 2013 on the cost-effectiveness of semi-automated Pap Smears.   "
109,Niloofar Ramezani,"   I hold a PhD and a master's degree in applied statistics and research methods as well as a bachelor's degree in statistics (minor in mathematics). I am interested in conducting statistical and interdisciplinary research and teaching courses in statistics, research methods, and data analytics. I have over a decade of experience as a senior statistician, consultant, and biostatistician, working with multiple state agencies. I enjoy working on different statistics and biostatistics areas; specially interested in recurrent event analysis and survival analysis, and their application in health, social, and education data. I am especially experienced with longitudinal, hierarchical, and joint models. I am a two-time recipient of SAS Ambassador Award for innovative use of statistical analysis software, as well as junior faculty SAS award, and have earned over two dozen competitive academic awards through SAS, APHA, ASA, and others, for my research in statistical modeling including developing two new power estimation techniques for longitudinal data. I am passionate in handling missing data, efficiently modeling correlated and multilevel data, and extending generalized estimating equations to capture higher response variation. Such methods are highly applicable in biomedical, social, health, engineering, business, education, and econometric fields. I believe in giving back to the community and have volunteered with nonprofit organizations for multiple years writing grants, evaluating intervention programs, and designing studies and look forward to more volunteer activities.I have over ten years of experience teaching undergraduate and graduate courses in statistics and data analytics, designing courses, and developing curriculum. My teaching philosophy is to impart my passion for statistics on my students to enable them to solve real-world problems using statistics. I also am looking forward to collaborate with other researchers and educators to further my research.I hold a PhD and a master's degree in applied statistics and research methods as well as a bachelor's degree in statistics (minor in mathematics). I am interested in conducting statistical and interdisciplinary research and teaching courses in statistics, research methods, and data analytics. I have over a decade of experience as a senior statistician, consultant, and biostatistician, working with multiple state agencies. I enjoy working on different statistics and biostatistics areas; specially interested in recurrent event analysis and survival analysis, and their application in health, social, and education data. I am especially experienced with longitudinal, hierarchical, and joint models.  I am a two-time recipient of SAS Ambassador Award for innovative use of statistical analysis software, as well as junior faculty SAS award, and have earned over two dozen competitive academic awards through SAS, APHA, ASA, and others, for my research in statistical modeling including developing two new power estimation techniques for longitudinal data. I am passionate in handling missing data, efficiently modeling correlated and multilevel data, and extending generalized estimating equations to capture higher response variation. Such methods are highly applicable in biomedical, social, health, engineering, business, education, and econometric fields. I believe in giving back to the community and have volunteered with nonprofit organizations for multiple years writing grants, evaluating intervention programs, and designing studies and look forward to more volunteer activities.I have over ten years of experience teaching undergraduate and graduate courses in statistics and data analytics, designing courses, and developing curriculum. My teaching philosophy is to impart my passion for statistics on my students to enable them to solve real-world problems using statistics. I also am looking forward to collaborate with other researchers and educators to further my research. "
165,Ningshi Yao,"Experienced Researcher with a 7-year history of working in the higher education. Strong research professional with a Doctor of Philosophy (PhD) focused in Control and Robotics from Georgia Institute of Technology. Skilled in control theory, optimization, machine learning, AI, computer vision, modeling, human robot interaction, Matlab, Latex and English."
30,Olcay Ciftci,
1,Omoche Agada,"   Information Technology professional with research interest in Cybersecurity, Digital Forensics, Data Science, and Machine Learning; seeking to apply my analytical and problem-solving skills to provide technology solutions to modern business problems.Information Technology professional with research interest in Cybersecurity, Digital Forensics, Data Science, and Machine Learning; seeking to apply my analytical and problem-solving skills to provide technology solutions to modern business problems. "
29,Parag Chitnis,
73,Pelin Kurtay,
9,Pramita Bagchi,
156,Qi Wei,
80,Qiliang Li,   Research on Nanoelectronics and Novel CMOS DevicesInterests:High performance nanoscale field effect transistorLarge scale nanowire SONOS/FLASH-like non-volatile memoryLarge-area nanostructured photoelectronicsNanoelectronic biosensorResearch on Nanoelectronics and Novel CMOS DevicesInterests:High performance nanoscale field effect transistorLarge scale nanowire SONOS/FLASH-like non-volatile memoryLarge-area nanostructured photoelectronicsNanoelectronic biosensor 
41,Rajesh Ganesan,"   Associate Professor in Systems Engineering and Operations Research, George Mason University, Fairfax, Virginia, USAFaculty member at the Center for Secure Information Systems, GMUFaculty member at the Center for Air Transportation Systems Research, GMUSpecialties: Research interests in Stochastic Control and Optimization, dynamic programming and waveletsAssociate Professor in Systems Engineering and Operations Research, George Mason University, Fairfax, Virginia, USAFaculty member at the Center for Secure Information Systems, GMUFaculty member at the Center for Air Transportation Systems Research, GMUSpecialties: Research interests in Stochastic Control and Optimization, dynamic programming and wavelets "
60,Ran Ji,"   I am now an Assistant Professor at Department of System Engineering and Operations Research, George Mason Univerisity, teaching in the M.S program of Data Analytics Engineering. My research interests include but are not limited to operations research, optimization under uncertainty, financial risk modeling, supply chain risk analytics. I would love to utilize my research and quantitative skills to solve complex real-life problems. • Five years experiences in quantitative field of operations research focusing on financial modeling and portfolio optimization, with interdisciplinary knowledge in operations research, optimization, decision science, statistics and data science.• Strong problem solving, quantitative and mathematical modeling skills with demonstrated proficiency in commonly used programming language and statistical software including AMPL, Cplex, C++, SAS, R.• Four years of experiences in efficiently disseminating knowledge through designing curriculum, supporting hundreds of students in dozens of master level courses and presenting research work at academic conferences.I am now an Assistant Professor at Department of System Engineering and Operations Research, George Mason Univerisity, teaching in the M.S program of Data Analytics Engineering. My research interests include but are not limited to operations research, optimization under uncertainty, financial risk modeling, supply chain risk analytics. I would love to utilize my research and quantitative skills to solve complex real-life problems.  • Five years experiences in quantitative field of operations research focusing on financial modeling and portfolio optimization, with interdisciplinary knowledge in operations research, optimization, decision science, statistics and data science.• Strong problem solving, quantitative and mathematical modeling skills with demonstrated proficiency in commonly used programming language and statistical software including AMPL, Cplex, C++, SAS, R.• Four years of experiences in efficiently disseminating knowledge through designing curriculum, supporting hundreds of students in dozens of master level courses and presenting research work at academic conferences. "
54,Ray Hong,"   I am a researcher who is specialized in understanding and measuring humans through quantitative and qualitative HCI research methodology and designing new tools that can practically change the way people work. Currently, I'm focusing on developing interactive devices that humans can leverage to align the way DNNs work ""as intended"".  My projects are mostly related to answering one of the questions as follows: (1) How can we measure the misalignment between the way DNNs work and the way human reasons? (2) In mitigating the misalignment, how can the new technology realize the creation of a new ML model that can think more reasonably like a human while making more accurate predictions? and (3) In the end, what can be the good design that can result in a successful human-AI collaboration tool for specific user groups?I am a researcher who is specialized in understanding and measuring humans through quantitative and qualitative HCI research methodology and designing new tools that can practically change the way people work. Currently, I'm focusing on developing interactive devices that humans can leverage to align the way DNNs work ""as intended"".  My projects are mostly related to answering one of the questions as follows: (1) How can we measure the misalignment between the way DNNs work and the way human reasons? (2) In mitigating the misalignment, how can the new technology realize the creation of a new ML model that can think more reasonably like a human while making more accurate predictions? and (3) In the end, what can be the good design that can result in a successful human-AI collaboration tool for specific user groups?                    "
147,Remi Veneziano,
98,Riki Morikawa,"   Thirty-four years of experience in the management of technical organizations in support of the Intelligence Community and Department of Defense.Expertise in engineering development for U.S. Government systems that depend upon telecommunications and value-added system engineering.  Engineering expertise in  telecommunication sciences, information technologies, network engineering, system engineering, satellite communications and program management. I am currently a full-time professor teaching courses in IT, Telecommunications, and Satellite Communications at the George Mason University, Volgenau School of Engineering, Department of Information Sciences and Technology.Thirty-four years of experience in the management of technical organizations in support of the Intelligence Community and Department of Defense.Expertise in engineering development for U.S. Government systems that depend upon telecommunications and value-added system engineering.  Engineering expertise in  telecommunication sciences, information technologies, network engineering, system engineering, satellite communications and program management.  I am currently a full-time professor teaching courses in IT, Telecommunications, and Satellite Communications at the George Mason University, Volgenau School of Engineering, Department of Information Sciences and Technology. "
45,Robert Handler,
102,Robert Osgood,"   I am an accomplished, pro-active professional with expertise in developing and applying technology to law enforcement with combined experience, specialized knowledge, and achievement in the areas of: Digital Forensics, Team Leadership, Resource Management, Organizational Development, Enterprise Case Management, Cyber Crime, Counterintelligence, Information Security, Information Technology, Insider (Internal) Threat Matters, and Infrastructure Protection. I am an accomplished, pro-active professional with expertise in developing and applying technology to law enforcement with combined experience, specialized knowledge, and achievement in the areas of: Digital Forensics, Team Leadership, Resource Management, Organizational Development, Enterprise Case Management, Cyber Crime, Counterintelligence, Information Security, Information Technology, Insider (Internal) Threat Matters, and Infrastructure Protection.  "
106,Robert Pettit,"   Rob Pettit has over 30 years of experience in the software engineering industry with expertise in large-scale, mission-critical software systems.  Dr. Pettit is internationally recognized in the fields of model-based software engineering; real-time software systems; and in the Ada programming language. He has authored over 40 refereed papers and co-authored the textbook globally referenced as the Ada coding standard.  Currently, Dr. Pettit is a senior project leader for spaceflight software at The Aerospace Corporation.  In this role, Dr. Pettit is responsible for mission assurance activities related to spaceflight software; mentoring junior staff; providing technical direction and research leadership; and supporting corporate interests in model-based software engineering.Dr. Pettit has taught numerous industrial and academic software engineering courses and is very active in the professional community, having been elevated to Senior Member in the IEEE; serving as program, general, and steering committee chair for multiple international conferences; serving as an editor for an international journal, and delivering presentations at international forums.  Dr. Pettit is an Adjunct Professor at both George Mason University and Virginia Tech, where he teaches courses in software engineering, architecture, design, and modeling. Dr. Pettit received his B.S., Computer Science / Mathematics degree in 1991 from the University of Evansville, his M.S., Software Systems Engineering degree in 1995 from the George Mason University, and his Ph.D. in Information Technology Engineering / Software Engineering from George Mason University in 2003.  Dr. Pettit is also very passionate about STEM education for the next generation and regularly volunteers in the Loudoun County Public Schools to assist in computer science and aerospace education at the high school level. Rob Pettit has over 30 years of experience in the software engineering industry with expertise in large-scale, mission-critical software systems.  Dr. Pettit is internationally recognized in the fields of model-based software engineering; real-time software systems; and in the Ada programming language. He has authored over 40 refereed papers and co-authored the textbook globally referenced as the Ada coding standard.  Currently, Dr. Pettit is a senior project leader for spaceflight software at The Aerospace Corporation.  In this role, Dr. Pettit is responsible for mission assurance activities related to spaceflight software; mentoring junior staff; providing technical direction and research leadership; and supporting corporate interests in model-based software engineering.Dr. Pettit has taught numerous industrial and academic software engineering courses and is very active in the professional community, having been elevated to Senior Member in the IEEE; serving as program, general, and steering committee chair for multiple international conferences; serving as an editor for an international journal, and delivering presentations at international forums.  Dr. Pettit is an Adjunct Professor at both George Mason University and Virginia Tech, where he teaches courses in software engineering, architecture, design, and modeling.  Dr. Pettit received his B.S., Computer Science / Mathematics degree in 1991 from the University of Evansville, his M.S., Software Systems Engineering degree in 1995 from the George Mason University, and his Ph.D. in Information Technology Engineering / Software Engineering from George Mason University in 2003.  Dr. Pettit is also very passionate about STEM education for the next generation and regularly volunteers in the Loudoun County Public Schools to assist in computer science and aerospace education at the high school level.  "
64,Rochelle Jones,"   Systems engineering professor with over 17 years of industry experience implementing enterprise solutions that drive company growth and technology innovation. Knowledge in all facets of the systems development lifecycle, from requirements development, design, test, and post-implementation activities. Primary research interests are in the areas of distance education and mobile learning, specifically centered on emerging distributed education technologies and methods to enhance the user experience through the use of mobile devices and human engineering principles. Other engineering interests include exploring human factors, ergonomics, and human-computer interaction issues.Systems engineering professor with over 17 years of industry experience implementing enterprise solutions that drive company growth and technology innovation. Knowledge in all facets of the systems development lifecycle, from requirements development, design, test, and post-implementation activities. Primary research interests are in the areas of distance education and mobile learning, specifically centered on emerging distributed education technologies and methods to enhance the user experience through the use of mobile devices and human engineering principles. Other engineering interests include exploring human factors, ergonomics, and human-computer interaction issues. "
144,Sadegh Torabi,"Assistant Professor and Cyber Security Researcher. A PhD graduate with passion for teaching/learning, research, and development experience. A self-motivated researcher with experience in in Big Data analytics, Internet Measurements, Machine/Deep Learning, and Cybersecurity. A natural leader with strong communication and problem-solving skills who also enjoys collaborative work to solve challenging problems."
120,Sam Salem,"Specialties: Civil Engineering, Infrastructure Asset Management, Construction Engineering and Management, Project Management, Sustainability, Safety and Health Engineering."
33,Sanmay Das,
79,Scott Lewis,
65,Shahnaz Kamberi,"   Computer Science professor teaching programming at multiple levels, onsite and online; with specialty in game programming, educational game development, serious game development and game design. STEM outreach professional responsible for focusing on engaging the student in the classroom through new innovative methods. Known for using educational computer games, software tools, using unplugged activities, social media and other means to provide the best learning environment for both adult learners and millennial/Generation Y,Z students. Dissertation focus was on the use of educational computer games to increase adolescent girls’ interest in computer science.Computer Science professor teaching programming at multiple levels, onsite and online; with specialty in game programming, educational game development, serious game development and game design. STEM outreach professional responsible for focusing on engaging the student in the classroom through new innovative methods. Known for using educational computer games, software tools, using unplugged activities, social media and other means to provide the best learning environment for both adult learners and millennial/Generation Y,Z students. Dissertation focus was on the use of educational computer games to increase adolescent girls’ interest in computer science. "
116,Shani Ross,"   I am the Associate Chair and Assistant Professor in Bioengineering at George Mason University with a demonstrated history of working in the higher education industry.   My research interests include neuroprosthesis and neuromodulation techniques with specific experience in  closed-loop systems for bladder control and deep brain stimulation therapy.  I am skilled in electrophysiological and behavioral techniques, instruction and course development, Matlab, LabVIEW, Adobe Suite, and Microsoft Office, and Paper/grant writing.I am the Associate Chair and Assistant Professor in Bioengineering at George Mason University with a demonstrated history of working in the higher education industry.   My research interests include neuroprosthesis and neuromodulation techniques with specific experience in  closed-loop systems for bladder control and deep brain stimulation therapy.  I am skilled in electrophysiological and behavioral techniques, instruction and course development, Matlab, LabVIEW, Adobe Suite, and Microsoft Office, and Paper/grant writing. "
123,Sharmin Sultana,
0,Sharon Adamus,
134,Shvetha Soundararajan,"Associate Professor (Teaching) in the Department of Computer Science, George Mason University. Areas of Interests: Agile Transformation, Software Development, Requirements Engineering, User Experience Research, Software Quality and Process Improvement, Software Architecture, and Computer Science Education."
129,Siddhartha Sikdar,"My professional experience is in the interdisciplinary research, development, clinical evaluation and commercialization of medical devices and medical imaging systems. My specific speciality is in ultrasound imaging systems. I have experience in medical imaging system development from imaging physics, system architecture, algorithms and optimal implementations based on high-performance mediaprocessors. Specialties: Diagnostic ultrasound, Biomedical signal and image processing, Biomedical instruments, Cardiovascular physiology"
26,Songqing Chen,
87,Tamara Maddox,
75,Thomas LaToza,
39,Tianshu Feng,
38,Tokunbo Fadahunsi,   I am a Computational Statistician who possesses good problem analysis and solving skills with rooted interest and knowledge in economic and financial market price processes and the application of mathematical and statistical models in the evaluation of various economic and market parameters.I am a Computational Statistician who possesses good problem analysis and solving skills with rooted interest and knowledge in economic and financial market price processes and the application of mathematical and statistical models in the evaluation of various economic and market parameters.  
135,Tolga Soyata,
133,Vadim Sokolov,Reformed mathematitian turned data scientist. Researcher and teacher. Expert in deep learning and Bayesian statistics. 
122,Vijay Shah,
88,Viviana Maggioni,
91,Wassim Masri,"   Research - Software engineering, software testing, and software analysis. The goal is to enhance the principal quality attributes of software systems, namely, reliability, safety, and security.Teaching - Design and implementation of programming languages, data structures and algorithms, software testing, software engineering, introductory and intermediate programming courses (in which I focus on the dos and don’ts of programming practices).Software Development - Fifteen years of U.S. industry experience as a software architect and developer in various domains such as medical imaging, middleware, telecom, genomics, semiconductor, and financial. (Expertise in Java, C++, Python, and Scala).Research - Software engineering, software testing, and software analysis. The goal is to enhance the principal quality attributes of software systems, namely, reliability, safety, and security.Teaching - Design and implementation of programming languages, data structures and algorithms, software testing, software engineering, introductory and intermediate programming courses (in which I focus on the dos and don’ts of programming practices).Software Development - Fifteen years of U.S. industry experience as a software architect and developer in various domains such as medical imaging, middleware, telecom, genomics, semiconductor, and financial. (Expertise in Java, C++, Python, and Scala).  "
61,Weiwen Jiang,"   Dr. Weiwen Jiang joined the ECE department at George Mason University as an Assistant Professor in Fall 2021. He was a Postdoctoral Associate at the University of Notre Dame. He received his Ph.D. degree from Chongqing University in 2019. From 2017 to 2019, he was a research scholar at the University of Pittsburgh. His research works have won Best Paper Awards in IEEE TCAD’21, ICCD’17, and NVMSA’15. He is the receipt of four Best Paper Nominations in ASP-DAC’16, DAC’19, CODES+ISSS’19, ASP-DAC’20, and the Top Winning Awards at IEEE Services Hackathon. He built the first co-design framework, QuantumFlow, to demonstrate the quantum advantage in designing neural networks onto a quantum computer, which was published in Nature Communications. Access https://jqub.ece.gmu.edu/weiwen/ for details.Dr. Weiwen Jiang joined the ECE department at George Mason University as an Assistant Professor in Fall 2021. He was a Postdoctoral Associate at the University of Notre Dame. He received his Ph.D. degree from Chongqing University in 2019. From 2017 to 2019, he was a research scholar at the University of Pittsburgh. His research works have won Best Paper Awards in IEEE TCAD’21, ICCD’17, and NVMSA’15. He is the receipt of four Best Paper Nominations in ASP-DAC’16, DAC’19, CODES+ISSS’19, ASP-DAC’20, and the Top Winning Awards at IEEE Services Hackathon. He built the first co-design framework, QuantumFlow, to demonstrate the quantum advantage in designing neural networks onto a quantum computer, which was published in Nature Communications. Access https://jqub.ece.gmu.edu/weiwen/ for details. "
74,Wing Lam,
27,Xiang Chen,
150,Xinyuan Wang,
151,Xuan Wang,"My research interest has focused on Distributed control and optimization in multi-agent autonomous systems. Under this scope, my research directions include incorporating the distributed computation/optimization techniques with AI-based machine learning applications and achieving network security/resilience under sophisticated cyber-attacks, which serves the theoretical fundamentals for many practical applications."
160,Xuesu Xiao,
28,Yue Cheng,"   Distributed systems, storage systems, cloud computing, high performance computing, and internet of thingsDistributed systems, storage systems, cloud computing, high performance computing, and internet of things "
153,Yue Wang,"I am currently a Research Assistant Professor with the Electrical and Computer Engineering Department, George Mason University, VA, USA, where I was a Postdoctoral Researcher. Prior to that, I was a Senior Research Engineer with HiSilicon Research Department at Huawei Technologies Co, Ltd. My general interest lies in the areas of signal processing, wireless communications, machine learning, and their applications in cyber physical systems. Specific research focuses on sparse signal processing (compressive sensing and sparse optimization); next generation communications (mmWave, massive MIMO, NOMA, channel estimation, noncoherent transmission); array and statistical signal processing (DoA estimation, frequency analysis, statistical analysis), cognitive radio (wideband spectrum sensing, cooperative detection, compressive statistics sensing, RFI detection, spectrum coexistence); distributed learning (communication-efficient decentralized learning, federated learning, mobile edge computing); efficient large-scale cyber physical systems (big data for 5G, smart cities, massive IoTs, WSN)."
162,Zhisheng Yan,"My research interests broadly lie in the broad areas of mobile and networked systems. My current focus includes the security and network issues of immersive computing systems, such as AR, VR, imaging, and video systems. More details can be found on my personal site: https://mason.gmu.edu/~zyan4/."
173,Ziwei Zhu,"Assistant Professor at the Department of Computer Science at the George Mason University. I am broadly interested in data mining, machine learning, and information retrieval, with a special emphasis on augmenting responsibility in AI-powered user-centered systems to provide fair, unbiased, accountable, and trustworthy information services for both end users and society-at-large."
166,Ziyu Yao,
