,Name,Title,Descriptions,Date
1,Lishan Yang,Fault Site Pruning for Practical Reliability Analysis of GPGPU ApplicationsFault Site Pruning for Practical Reliability Analysis of GPGPU Applications,"GPGPU applications have huge unreachable exhaustive fault site space, so we propose our practical methodology of fault site pruning, to get accurate reliability assessment in a short time.GPGPU applications have huge unreachable exhaustive fault site space, so we propose our practical methodology of fault site pruning, to get accurate reliability assessment in a short time.",1-Oct-18
2,Lishan Yang,valuating Scalability and Performance of a Security Management Solution in Large Virtualized EnvironmentsEvaluating Scalability and Performance of a Security Management Solution in Large Virtualized Environments,"We design and implement a benchmark, ht-vmbench, for the performance and scalability assessment of virtual machine operations. We evaluate a security cloud management solution using our benchmark.We design and implement a benchmark, ht-vmbench, for the performance and scalability assessment of virtual machine operations. We evaluate a security cloud management solution using our benchmark.",1-Apr-18
3,Lishan Yang,G-NET: Effective GPU Sharing in NFV SystemsG-NET: Effective GPU Sharing in NFV Systems,"We propose G-NET, an NFV system with a GPU virtualization scheme that supports spatial GPU sharing, a service chain based GPU scheduler, and a scheme to guarantee data isolation in the GPU. In addition, we develop an abstraction for building efficient network funcctions on G-NET.We propose G-NET, an NFV system with a GPU virtualization scheme that supports spatial GPU sharing, a service chain based GPU scheduler, and a scheme to guarantee data isolation in the GPU. In addition, we develop an abstraction for building efficient network funcctions on G-NET.",1-Apr-18
4,Lishan Yang,Simulating COVID-19 Containment Measures Using the South Korean Patient Data Simulating COVID-19 Containment Measures Using the South Korean Patient Data ,,2020
0,Massimiliano Albanese,Poster: Securing Distributed System Configuration through Optimization and Reasoning on Graphs,"Complex distributed systems are inherently difficult to secure due to the many interdependencies amongst their components, vulnerabilities, and configuration parameters. To address this problem, we present an approach for improving the security posture of distributed systems by examining the security impact of configuration changes across their interdependent components. We construct a graph-based model of the system and its vulnerabilities and use it to analyze the attack surface and the impact of attacks. We show how the model can be optimized using SMT solvers to derive configurations that minimize the impact of attacks while preserving system functionality.",24-Feb-19
1,Massimiliano Albanese,DeBot: A Novel Network-based Mechanism to Detect Exfiltration by Architectural Stealthy Botnets,"Malicious actors use networks of compromised and remotely controlled hosts, known as botnets, to execute different classes of cyberattacks, including exfiltration of sensitive data. Recently, we have observed a trend toward more resilient botnet architectures, departing from traditional centralized architectures and enabling botnets to evade detection and persist in a system indefinitely. Botnets can achieve resilience through architectural stealth, by establishing overlay networks that minimize exposure of malicious traffic to detectors. To address this problem, we propose a novel network‐based detection scheme, called DeBot, which identifies traffic flows associated with exfiltration attempts. The proposed solution intercepts traffic from different monitoring points and leverages differences in the network behavior of botnets and benign users to identify suspicious flows. To this aim, we first develop a mechanism to identify monitoring points that are likely to intercept a significant volume of malicious traffic. Then, we analyze flow characteristics to identify suspicious hosts and use periodogram analysis to identify malicious flows originating from those hosts. We evaluate the proposed approach against different botnets in the CyberVAN testbed and compare its performance against state‐of‐the‐art detection techniques. The results indicate that DeBot is effective in detecting botnet activity, thus enabling the identification and removal of bots.",5-Dec-18
2,Massimiliano Albanese,From Cyber Situational Awareness to Adaptive Cyber Defense: Leveling the Cyber Playing Field,"In the cyber security landscape, the asymmetric relationship between defender and attacker tends to favor the attacker: while the defender needs to protect a system against all possible ways of breaching it, the attacker needs to identify and exploit only one vulnerable entry point in order to succeed. In this chapter, we show how we can effectively reverse such intrinsic asymmetry in favor of the defender by concurrently pursuing two complementary objectives: increasing the defender’s understanding of multiple facets of the cyber landscape – referred to as Cyber Situational Awareness (CSA) – and creating uncertainty for the attacker through Moving Target Defense (MTD) or Adaptive Cyber Defense (ACD) techniques. This chapter provides a brief overview of contributions in these areas, and discusses future research directions.",30-Nov-18
3,Massimiliano Albanese,A Quantitative Framework to Model Advanced Persistent Threats,"In recent years, Advanced Persistent Threats (APTs) have emerged as increasingly sophisticated cyber attacks, often waged by state actors or other hostile organizations against high-profile targets. APT actors employ a diversified set of sophisticated tools and advanced capabilities to penetrate target systems, evade detection, and maintain a foothold within compromised systems for extended periods of time. Stealth and persistence enable APT actors to conduct long-term espionage and sabotage operations. Despite significant efforts to develop APT detection and mitigation capabilities, the stealthy nature of APTs poses significant challenges, and defending from such threats is still an open research problem. In particular, quantitative models to capture how APTs may create and maintain a foothold within a target system are lacking. To address this gap, we propose a quantitative framework to (i) assess the cost incurred by APT actors to compromise and persist within a target system; (ii) estimate the value they gain over time by persisting in the system; (iii) simulate how the footprint of an APT evolves over time when, to maintain stealth, attackers have constraints on the volume of potentially detectable activity they can engage in. We also propose a preliminary defender model, and results from the evaluation show that our approach is promising, thus encouraging further research in this direction. ",26-Jul-18
4,Massimiliano Albanese,Defending from Stealthy Botnets Using Moving Target Defenses,"In today’s IT landscape, organizations are increasingly exposed to an array of novel and sophisticated threats—including advanced persistent threats (APTs) and distributed denial-of-service (DDoS) attacks—which can bypass traditional defenses and persist in target systems indefinitely. Threat actors often rely on networks of compromised and remotely controlled hosts, known as botnets, to execute a number of different cyberattacks and engage in criminal or unauthorized activities. Protecting sensitive and mission-critical data from competitors, state actors, and organized crime has become increasingly critical for the well-being of many organizations. A promising approach to botnet detection and mitigation relies on moving target defense (MTD), a novel and game-changing approach to cyber defense. MTD creates asymmetric uncertainty, providing the defender with a tactical advantage over the attacker. MTD techniques are designed to continuously change or shift a system’s attack surface, thus increasing cost and complexity for the threat actors. We show how the botnet detection and mitigation problem can be decomposed in three related and relatively simpler challenges, and how these challenges can be effectively tackled adopting an MTD approach, ultimately limiting the ability of a botnet to persist within a target system.",6-Feb-18
5,Massimiliano Albanese,A Graphical Model to Assess the Impact of Multi-Step Attacks,"In the last several decades, networked systems have grown in complexity and sophistication, introducing complex interdependencies amongst their numerous and diverse components. Attackers can leverage such interdependencies to penetrate seemingly well-guarded networks through sophisticated multi-step attacks. Research has shown that explicit and implicit interdependencies exist at various layers of the hardware and software architecture. In particular, dependencies between vulnerabilities and dependencies between applications and services are critical for assessing the impact of multi-step attacks. These two classes of interdependencies have been traditionally studied using attack and dependency graphs respectively. Although significant work has been done in the area of both attack and dependency graphs, we demonstrate that neither of these models can provide an accurate assessment of an attack’s impact, when used in isolation. To address this limitation, we take a mission-centric approach and present a solution to integrate these two powerful models into a unified framework that enables us to accurately assess the impact of multi-step attacks and identify high-impact attack paths within a network. This analysis can ultimately generate effective hardening recommendations, and can be seen as one phase of a continuous process that iteratively cycles through impact analysis and vulnerability remediation stages.",1-Jan-18
6,Massimiliano Albanese,Performance Modeling of Moving Target Defenses,"In recent years, Moving Target Defense (MTD) has emerged as a potential game changer in the security landscape, due to its potential to create asymmetric uncertainty  that favors the defender. Many  different MTD techniques have then been proposed, each addressing an often very specific set of attack vectors. Despite the huge progress made in this area, there are still some critical gaps with respect to the analysis and quantification of the cost and benefits of deploying MTD techniques. In fact, common metrics to assess the performance of these techniques are still lacking and most of them tend to assess their performance in different and often incompatible ways. This paper addresses these gaps by proposing a quantitative analytic model for assessing the resource availability and performance of MTDs, and a method for the determination of the highest possible reconfiguration rate, and thus smallest probability of attacker's success, that meets performance and stability constraints. Finally, we present an experimental validation of the proposed approach.",30-Oct-17
7,Massimiliano Albanese,Detecting Stealthy Botnets in a Resource-Constrained Environment using Reinforcement Learning,"In recent years, Moving Target Defense (MTD) has emerged as a potential game changer in the security landscape, due to its potential to create asymmetric uncertainty that favors the defender. Many different MTD techniques have then been proposed, each addressing an often very specific set of attack vectors. Despite the huge progress made in this area, there are still some critical gaps with respect to the analysis and quantification of the cost and benefits of deploying MTD techniques. In fact, common metrics to assess the performance of these techniques are still lacking and most of them tend to assess their performance in different and often incompatible ways. This paper addresses these gaps by proposing a quantitative analytic model for assessing the resource availability and performance of MTDs, and a method for the determination of the highest possible reconfiguration rate, and thus smallest probability of attacker's success, that meets performance and stability constraints. Finally, we present an experimental validation of the proposed approach.",30-Oct-17
8,Massimiliano Albanese,An Integrated Framework for Cyber Situation Awareness,"In this chapter, we present a framework that integrates an array of techniques and automated tools designed with the objective of drastically enhancing the Cyber Situation Awareness process. This framework incorporates the theory and the tools we developed to answer – automatically and efficiently – some of the fundamental questions security analysts may need to ask in the context of Cyber Situation Awareness. Most of the work presented in this chapter is the result of the
research effort conducted by the authors as part of a the Multidisciplinary University Research Initiative project sponsored by the Army Research Office that was mentioned in the introductory chapter. We present the key challenges the research community has been called to address in this space, and describe our major accomplishments in tackling those challenges.",7-Jul-17
9,Massimiliano Albanese,Computer-Aided Human Centric Cyber Situation Awareness,"In this chapter, we provide an overview of Cyber Situational Awareness, an emerging research area in the broad field of cyber security, and discuss, at least at a high level, how to gain Cyber Situation Awareness. Our discussion focuses on answering the following questions: What is Cyber Situation
Awareness? Why is research needed? What are the current research objectives and inspiring scientific principles? Why should one take a multidisciplinary approach? How could one take an end-to-end holistic approach? What are the future research directions?",7-Jul-17
10,Massimiliano Albanese,A Framework for Moving Target Defense Quantification,"Moving Target Defense (MTD) has emerged as a game changer in the security landscape, as it can create asymmetric uncertainty favoring the defender. Despite the significant work done in this area and the many different techniques that have been proposed, MTD has not yet gained widespread adoption due to several limitations. Specifically, interactions between multiple techniques have not been studied yet and a unified framework for quantifying and comparing very diverse techniques is still lacking. To overcome these limitations, we propose a framework to model how different MTD techniques can affect the information an attacker needs to exploit a system’s vulnerabilities, so as to introduce uncertainty and reduce the likelihood of successful attacks. We illustrate how this framework can be used to compare two sets of MTDs, and to select an optimal set of MTDs that maximize security within a given budget. Experimental results show that our approach is effective.",4-May-17
11,Massimiliano Albanese,From Idea to Prototype: Introducing Students to Entrepreneurship,"We describe results from a semester-long class taught by seven faculty at George Mason University, aimed at providing resources to engage students in idea generation, design cycle development, and finally elaboration of a business plan. This is intended to alleviate a perceived lack of access for students to commercialize their ideas. Undergraduate and graduate students are often left with unfinished class projects that do not turn into prototypes or products. Here we aim to avoid this outcome (often referred to as the “Valley of Death”). We recruited students with ideas for products as well as students with varied expertise. We have then formalized their engagement by offering a seminar class that met once every other week over a 15 week semester. After the class each team underwent a one-week intensive boot camp for a final demonstration and presentation of their product and business plan. Throughout the semester the teams solicited and received micro-grants, then used the financial support to acquire materials to prototype several iterations of their ideas. In this paper we present data from our preliminary analysis of two successful teams. Out of five teams who took the class, three completed, and two continued with their products beyond the class. We also discuss strategies to engage students, to form viable teams, to provide technical support, and to deliver content in a nontraditional environment, with students from different backgrounds (e.g., sociology, civil engineering, computer science) enrolled both in undergraduate and graduate programs.",11-Mar-17
12,Massimiliano Albanese,Moving Target Defense against DDoS Attacks: An Empirical Game-Theoretic Analysis,"Distributed denial-of-service attacks are an increasing problem facing web applications, for which many defense techniques have been proposed, including several moving-target strategies. These strategies typically work by relocating targeted services over time, increasing uncertainty for the attacker, while trying not to disrupt legitimate users or incur excessive costs. Prior work has not shown, however, whether and how a rational defender would choose a moving-target method against an adaptive attacker, and under what conditions. We formulate a denial-of-service scenario as a two-player game, and solve a restricted-strategy version of the game using the methods of empirical game-theoretic analysis. Using agent-based simulation, we evaluate the performance of strategies from prior literature under a variety of attacks and environmental conditions. We find evidence for the strategic stability of various proposed strategies, such as proactive server movement, delayed attack timing, and suspected insider blocking, along with guidelines for when each is likely to be most effective.",10-Oct-16
13,Massimiliano Albanese,A Moving Target Defense Approach to Disrupting Stealthy Botnets,"Botnets are increasingly being used for exfiltrating sensitive data from mission-critical systems. Research has shown that botnets have become extremely sophisticated and can operate in stealth mode by minimizing their host and network footprint. In order to defeat exfiltration by modern botnets,
we propose a moving target defense approach for dynamically deploying detectors across a network. Specifically, we propose several strategies based on centrality measures to periodically change the placement of detectors. Our objective is to increase the attacker's effort and likelihood of detection by creating uncertainty about the location of detectors and forcing botmasters to perform additional
actions in an attempt to create detector-free paths through the network. We present metrics to evaluate the proposed strategies and an algorithm to compute a lower bound on the detection probability. We validate our approach through simulations, and results conrm that the proposed solution effectively reduces the likelihood of successful exfiltration campaigns.",10-Oct-16
14,Massimiliano Albanese,Next-Generation Technologies for Preventing Accidental Death of Children Trapped in Parked Vehicles,"Integration of computational and physical elements into cyber-physical systems is increasingly finding application in a number of different domains, including smart power grids, medical technologies, and building automation. In this paper, we study how the notion of cyber-physical
integration can be applied to the design of the next generation of safety devices for saving the life of children inadvertently left into parked vehicles. In the United States alone, an average 38 children die from heatstroke after being left into parked vehicles by their caregivers. To be effective, next-generation safety devices will need to have the capability of sensing the environment in and around the vehicle, integrating and processing data from an array of different sensors, assessing the risk in real time, and triggering appropriate corrective actions aimed
at removing or mitigating the risk factors for the child. ",14-Aug-14
15,Massimiliano Albanese,Automated Coding of Decision Support Variables,"With the enormous amount of textual information now available online, there is an increasing demand – especially in the national security community – for tools capable of automatically extracting certain types of information from massive amounts of raw data. In the last several years, ad-hoc Information Extraction (IE) systems have been developed to help address this need [6]. However, there are applications where the types of questions that need to be answered are far more complex than those that traditional IE systems can handle, and require to integrate information from several sources. For instance, political scientists need to monitor political organizations and conflicts, while defense and security analysts need to monitor terrorist groups. Typically, political scientists and analysts define a long list of variables – referred to as “codebook” – that they want to monitor over time for a number of groups. Currently, in most such efforts, the task of finding the right value for each variable – denoted as “coding” – is performed manually by human coders, and is extremely time consuming. Thus, the need for automation is enormous.
From: http://link.springer.com/chapter/10.1007/978-1-4614-5311-6_4",11-Dec-12
16,Massimiliano Albanese,Time-Efficient and Cost-Effective Network Hardening Using Attack Graphs,,1-Jun-12
17,Massimiliano Albanese,A Probabilistic Framework for Localization of Attackers in MANETs,,1-Jan-12
18,Massimiliano Albanese,A Multimedia Recommender Integrating Object Features and User Behavior,,1-Dec-10
19,Massimiliano Albanese,PADS: A Probabilistic Activity Detection Framework for Video Data,,1-Dec-10
20,Massimiliano Albanese,A Constrained Probabilistic Petri Net Framework for Human Activity Detection in Video,,1-Dec-08
0,Michael Eagle,Predicting Individual Differences for Learner Modeling in Intelligent Tutors from Previous Learner Activities,Best Paper Award,13-Jul-16
1,Michael Eagle,Measuring Gameplay Affordances of User-Generated Content in an Educational Game,Best Paper Nomination,29-Jun-16
2,Michael Eagle,Estimating Individual Differences for Student Modeling in Intelligent Tutors from Reading and Pretest Data,Best Paper Nomination,6-Jun-16
3,Michael Eagle,Using game analytics to evaluate puzzle design and level progression in a serious game,,25-Apr-16
4,Michael Eagle,Measuring Implicit Science Learning with Networks of Player-Game Interactions,,15-Oct-15
5,Michael Eagle,Exploration of Student's Use of Rule Application References in a Propositional Logic Tutor,"Many tutors offer students reference material or tips that they can access as needed. We have logged data about student use of references with Deep Thought logic tutor which to understand why and how references are used. We need evidence that students use these references in systematic ways that change over the course of the tutor, and can be predictive of rule application errors. We can use this information to increase our understanding of which concepts students find similar, what times during the tutor students feel the need to use references. Our goal is to eventually incorporate data-driven feedback based on when and how the references are accessed.",1-Jan-14
6,Michael Eagle,An Algorithm for Reducing the Complexity of Interaction Networks,,1-Jan-13
7,Michael Eagle,Evaluation of Automatically Generated Hint Feedback,,1-Jan-13
8,Michael Eagle,Exploring Player Behavior with Visual Analytics,,1-Jan-13
9,Michael Eagle,InVis: An Interactive Visualization Tool for Exploring Interaction Networks,,1-Jan-13
10,Michael Eagle,Using sequential pattern mining to increase graph comprehension in intelligent tutoring system student data,,1-Jan-13
11,Michael Eagle,A learning objective focused methodology for the design and evaluation of game-based tutors,,1-Jan-12
12,Michael Eagle,Data-Driven method for assessing skill-opportunity recognition in open procedural problem solving environments,,1-Jan-12
13,Michael Eagle,Experimental evaluation of automatic hint generation for a logic tutor,,1-Jan-12
14,Michael Eagle,Interaction Networks: Generating High Level Hints Based on Network Community Clustering.,,1-Jan-12
15,Michael Eagle,Program representation for automatic hint generation for a data-driven novice programming tutor,,1-Jan-12
16,Michael Eagle,Experimental Evaluation of Automatic Hint Generation for a Logic Tutor.,,1-Jan-11
17,Michael Eagle,Towards Automatic Hint Generation for a Data-Driven Novice Programming Tutor,,1-Jan-11
18,Michael Eagle,"Intelligent tutoring systems, educational data mining, and the design and evaluation of video games",,1-Jan-10
19,Michael Eagle,Evaluation of a game-based lab assignment,,1-Jan-09
20,Michael Eagle,Experimental evaluation of an educational game for improved learning in introductory computing,,1-Jan-09
21,Michael Eagle,Level up: a frame work for the design and evaluation of educational games,,1-Jan-09
22,Michael Eagle,Wu's castle: teaching arrays and loops in a game,,1-Jan-08
23,Michael Eagle,Wu's castle: teaching for loops and arrays using games,,1-Jan-07
24,Michael Eagle,Exploring the Properties of Student-Tutor Interaction Networks Across Problem-Solving Domains,,Learning and Analytics (LAK2015)
25,Michael Eagle,My Google Scholar Page,,Google
26,Michael Eagle,The EDM Vis Tool.,,
0,Michael Hieb,The Operations Intent and Effects Model: A Command and Control Methodology for Increased Automation,"Command and Control (C2) is viewed as an increasing important part of future military 
technologies. While recent C2 theory has focused on desirable features of complex organizations, 
such as Agility, and emerging work is looking at social media approaches – the key issues for 
many nations and programs are how to integrate and benefit from increased automation. Rapid 
advanced in Robotic and Simulation technologies are very apparent and challenge the current C2 
methodologies that rely upon intensive human intervention and monitoring. Future C2 will need 
to accommodate “mixed” forces of Humans and Robots.
The uncertainty inherent in an actual mission, and the variety of potential organizations that 
support the mission after it is underway, makes Command Intent (CI) a critical concept for 
automated C2 systems. Both humans and decision support services (including simulations) within 
a C2 system need to have the ability to communicate and interpret a shared CI. The Operations 
Intent and Effects Model (OIEM) identifies the relationships between Intent, Actions, and Effects 
in a C2 framework. We describe this model and show how it can represen",1-Jun-13
0,Mihai Boicu,Knowledge Engineering: Building Cognitive Assistants for Evidence-based Reasoning,"This book presents a significant advancement in the theory and practice of knowledge engineering, the discipline concerned with the development of intelligent agents that use knowledge and reasoning to perform problem solving and decision-making tasks. It covers the main stages in the development of a knowledge-based agent: understanding the application domain, modeling problem solving in that domain, developing the ontology, learning the reasoning rules, and testing the agent. The book focuses on a special class of agents: cognitive assistants for evidence-based reasoning that learn complex problem-solving expertise directly from human experts, support experts, and nonexperts in problem solving and decision making, and teach their problem-solving expertise to students. A powerful learning agent shell, Disciple-EBR, is included with the book, enabling students, practitioners, and researchers to develop cognitive assistants rapidly in a wide variety of domains that require evidence-based reasoning, including intelligence analysis, cybersecurity, law, forensics, medicine, and education.",Cambridge University Press
1,Mingkui Wei,Claim What You Need: A Text-Mining Approach on Android Permission Request AuthorizationClaim What You Need: A Text-Mining Approach on Android Permission Request Authorization,,1-Jan-15
2,Mingkui Wei,On Detection and Concealment of Critical Roles in Tactical Wireless NetworksOn Detection and Concealment of Critical Roles in Tactical Wireless Networks,,1-Jan-15
3,Mingkui Wei,Safety Can Be Dangerous: Secure Communications Impair Smart Grid Stability Under EmergenciesSafety Can Be Dangerous: Secure Communications Impair Smart Grid Stability Under Emergencies,,1-Jan-15
4,Mingkui Wei,Combat the Disaster: Communications in Smart Grid Alleviate Cascading FailuresCombat the Disaster: Communications in Smart Grid Alleviate Cascading Failures,,1-Dec-14
5,Mingkui Wei,Greenbench: A Benchmark for Observing Power Grid Vulnerability Under Data-Centric ThreatsGreenbench: A Benchmark for Observing Power Grid Vulnerability Under Data-Centric Threats,,1-Apr-14
6,Mingkui Wei,Toward Distributed Intelligent: A Case Study of Peer to Peer Communication in Smart GridToward Distributed Intelligent: A Case Study of Peer to Peer Communication in Smart Grid,,1-Dec-13
1,Ningshi Yao,Contention-Resolving Model Predictive Control for Coordinating Automated Vehicles at a Traffic IntersectionContention-Resolving Model Predictive Control for Coordinating Automated Vehicles at a Traffic Intersection,"Our earlier work established a contention-resolving model predictive control (MPC) framework for co-designing priorities and speeds for automated vehicles at an intersection. In this paper, we present an improved contention-resolving MPC design. We propose a new branch cost formulation for the decision tree that is constructed by contention-resolving MPC to handle the case where a vehicle is delayed multiple times before being allowed access to the intersection. All possible priority combinations are dynamically generated when constructing the decision tree. Based on the priority assignments, we design a decentralized control law to control vehicle speeds, which we show enjoys optimality properties under a specific priority assignment. We verify the effectiveness of our method through a simulation and a comparison with the First-Come-First-Serve scheduling strategy.",11-Dec-19
2,Ningshi Yao,Avoiding Chatter in an Online Co-Learning Algorithm Predicting Human IntentionAvoiding Chatter in an Online Co-Learning Algorithm Predicting Human Intention,"Chatter can happen when an online learning algorithm is used by a robot to predict human intention while interacting with a human subject. When chatter happens, the learning algorithm continually changes its prediction, without reaching a constant prediction of human intention. Using the Rescorla-Wagner model for human learning, we analyze an expert based online learning algorithm and identify an invariant set in the state and parameter space where chatter will occur. Based on the chatter analysis, we also propose an improved expert based learning algorithm where the invariant set does not exist so that chatter can be avoided. ",11-Dec-19
3,Ningshi Yao,Autonomous flying blimp interaction with human in an indoor spaceAutonomous flying blimp interaction with human in an indoor space,"We present the Georgia Tech Miniature Autonomous Blimp (GT-MAB), which is designed to support human-robot interaction experiments in an indoor space for up to two hours. GT-MAB is safe while flying in close proximity to humans. It is able to detect the face of a human subject, follow the human, and recognize hand gestures. GT-MAB employs a deep neural network based on the single shot multibox detector to jointly detect a human user�s face and hands in a real-time video stream collected by the onboard camera. A human-robot interaction procedure is designed and tested with various human users. The learning algorithms recognize two hand waving gestures. The human user does not need to wear any additional tracking device when interacting with the flying blimp. Vision-based feedback controllers are designed to control the blimp to follow the human and fly in one of two distinguishable patterns in response to each of the two hand gestures. The blimp communicates its intentions to the human user by displaying visual symbols. The collected experimental data show that the visual feedback from the blimp in reaction to the human user significantly improves the interactive experience between blimp and human. The demonstrated success of this procedure indicates that GT-MAB could serve as a flying robot that is able to collect human data safely in an indoor environment.",8-Jan-19
4,Ningshi Yao,Resolving Contentions for Intelligent Traffic Intersections Using Optimal Priority Assignment and Model Predictive ControlResolving Contentions for Intelligent Traffic Intersections Using Optimal Priority Assignment and Model Predictive Control,"We address the problem of optimally scheduling automated vehicles crossing an urban intersection by assigning vehicles with priorities. We formulate the intersection scheduling problem as a Mixed Integer Programming (MIP) problem which co-designs the priority and traveling speed for each vehicle. The co-design aims to minimize the vehicle waiting time at the intersection area, under a set of safety constraints. To solve the problem, we present a contention-resolving Model Predictive Control (MPC) method to dynamically assign priorities and compute the optimal speed for each vehicle based on the assigned priorities. The optimal priority assignment can be determined using a sampling based approach. The effectiveness of the proposed method is validated through simulation and shows reductions in traveling time.",21-Aug-18
5,Ningshi Yao,Scheduling feasibility of energy management in micro-grids based on significant moment analysisScheduling feasibility of energy management in micro-grids based on significant moment analysis,"This chapter studies the operation and scheduling of electric loads in micro-grid, a highly automated and distributed cyber-physical energy system. We establish rigorous mathematical expressions for electric loads and battery banks in the micro-grid by considering their characteristics and constraints. Based on these mathematical models, we propose a novel real-time scheduling analysis method for priority-based energy management in micro-grid, named significant moments analysis (SMA). SMA pinpoints all the crucial moments when electrical operations are requested among the micro-grid and establishes a dynamic model to describe the scheduling behavior of electric loads. Using SMA, we can check the scheduling feasibility and predict whether the micro-grid can generate enough power to support the execution of electric loads. In the case where the power is insufficient to supply load demands, SMA can provide accurate information about the amount of insufficient power and the time when the insufficiency happens. Simulated results are presented to show the effectiveness of the proposed analysis method.",1-Sep-17
6,Ningshi Yao,Monocular vision-based human following on miniature robotic blimpMonocular vision-based human following on miniature robotic blimp,"We present an approach that allows the Georgia Tech Miniature Autonomous Blimp (GT-MAB) to detect and follow a human. This accomplishment is the first Human Robot Interaction (HRI) demonstration between an uninstrumented human and a robotic blimp. GT-MAB is an ideal platform for HRI missions because it is safe to humans and can support sufficient flight time for HRI experiments. However, due to complex aerodynamic influence on the blimp, the human following task for GT-MAB with a single on-board camera is a challenging problem. We integrate Haar face detector and KLT feature tracker to achieve robust human tracking. After a human face is detected in the real-time video stream, we estimated the 3D positions of the human with respect to GT-MAB. Visionbased PID controllers are designed based on estimated relative position and the motion primitives of GT-MAB such that it can achieve stable and continuous human following behavior. Experimental results are presented to demonstrate the human following capability on GT-MAB.",29-May-17
7,Ningshi Yao,Contention resolving optimal priority assignment for event-triggered model predictive controllersContention resolving optimal priority assignment for event-triggered model predictive controllers,"Priority-based scheduling strategies are often used to resolve contentions in resource constrained networked control systems (NCSs). Such scheduling strategies inevitably introduce time delays into controls. Considering the coupling between priority assignment and control, this paper proposes a novel method to co-design priority assignments and controls for each control loop in NCSs. The co-design aims to minimize the performance degradation caused by time delays. The priority assignment is determined by a path planning approach to search for optimal priority assignments. Model predictive controllers are designed based on optimizing priority assignments to compute optimal controls. Simulations are presented to show the effectiveness of the proposed method.",24-May-17
8,Ningshi Yao,Modeling the effect of nanoparticles & the bistability of transmembrane potential in non-excitable cellsModeling the effect of nanoparticles & the bistability of transmembrane potential in non-excitable cells,"We present a simple dynamical model for the transmembrane potential in non-excitable mammalian cells. This model allows us to mimic the effect of nanoparticles on the transmembrane potential, by decreasing the permeability of potassium ion channels. We show that our model agrees with the trends observed in our experiments. However, it also exhibits opposing trends under certain conditions, which were not seen in the experiments. This indicates that the membrane potential can be bistable. We analyze the cellular conditions which may cause this apparent bistability. The effects of adding nanoparticles on sodium and chloride ion channels are also studied using the proposed model. We hypothesize that nanoparticles may also block the sodium and chloride ion channels but the extent of blockage of these ion channels may differ from that of potassium ion channels.",6-Jul-16
0,Parag Chitnis,Correlation of rupture dynamics to the nonlinear backscatter response from polymer-shelled ultrasound contrast agents," Polymer-shelled ultrasound contrast agents (UCAs) may expel their encapsulated gas subject to ultrasound- induced shell buckling or rupture. Nonlinear oscillations of this gas bubble can produce a subharmonic component in the ultrasound backscatter. This study investigated the relationship between this gas-release mechanism and shell-thickness??? to???radius ratios (STRRs) of polymer-shelled UCAs. Three types of polylactide-shelled UCAs with STRRs of 7.5, 40, and 100 nm/??m were studied. Each UCA population had a nominal mean diameter of 2 ??m. UCAs were subjected to increasing static overpressure ranging from 2 to 330 kPa over a duration of 2 h in a custom-designed test chamber while being imaged using a 200?? magnification video microscope at a frame rate of 5 frames/s. Digitized video images were binarized and processed to obtain the cross-sectional area of individual UCAs. Integration of the normalized cross-sectional area over normalized time, defined as buckling factor (Bf), provided a dimensionless parameter for quantifying and comparing the degree of pre-rupture buckling exhibited by the UCAs of different STRRs in response to overpressure. The UCAs with an STRR of 7.5 nm/??m exhibited a distinct shell-buckling phase before shell rupture (Bf < 1), whereas the UCAs with higher STRRs (40 and 100 nm/??m) did not undergo significant prerupture buckling (Bf ??? 1). The difference in the overpressure response was correlated with the subharmonic response produced by these UCAs. When excited using 20-MHz ultrasound, individual UCAs (N = 3000) in populations that did not exhibit a buckling phase produced a subharmonic response that was an order of magnitude greater than the UCA population with a prominent pre-rupture buckling phase. These results indicate the mechanism of gas expulsion from these UCAs might be a relevant factor in determining the level of subharmonic response in response to high-frequency ultrasound ",1-Mar-15
0,Ran Ji,"Properties, formulations, and algorithms for portfolio optimization using Mean-Gini criteria","We study an extended set of Mean-Gini portfolio optimization models that encompasses a general version of the mean-risk formulation, the Minimal Gini model (MinG) that minimizes Gini’s Mean Differences, and the new risk-adjusted Mean-Gini Ratio (MGR) model. We analyze the properties of the various models, prove that a performance measure based on a Risk Adjusted version of the Mean Gini Ratio (RAMGR) is coherent, and establish the equivalence between maximizing this performance measure and solving for the maximal Mean-Gini ratio. We propose a linearization approach for the fractional programming formulation of the MGR model. We also conduct a thorough evaluation of the various Mean-Gini models based on four data sets that represent combinations of bullish and bearish scenarios in the in-sample and out-of-sample phases. The performance is (i) analyzed with respect to eight return, risk, and risk-adjusted criteria, (ii) benchmarked with the S&P500 index, and (iii) compared with their Mean-Variance counterparts for varying risk aversion levels and with the Minimal CVaR and Minimal Semi-Deviation models. For the data sets used in our study, our results suggest that the various Mean-Gini models almost always result in solutions that outperform the S&P500 benchmark index with respect to the out-of-sample cumulative return. Further, particular instances of Mean-Gini models result in solutions that are as good or better (for example, MinG in bullish in-sample scenarios, and MGR in bearish out-of-sample scenarios) than the solutions obtained with their counterparts in Mean-Variance, Minimal CVaR and Minimal Semi-Deviation models.",Annals of Operations Research
